Teil der Merit-Order?;MaStR-Nr. ;ÜNB;Status;Anlagenbetreiber;Anzeige-Name;PLZ der Einheit;Ort der Einheit;"Straße und Hausnummer
der Einheit";Bundesland der Einheit;Datum der erstmaligen Inbetriebnahme der Einheit;Energieträger;Hauptbrennstoff;Auswertung Energieträger;Wärmeauskopplung (KW) ja/nein;Technologie der Stromerzeugung;Angenommener Hauptenergieträger ;Zuordnung Kraftwerkstyp;Effizienz;Quelle Effizienz;Bruttoleistung [MW];"Netto-Nennleistung
(elektrische Wirkleistung) [MW]";"Mittlere verfügbare
Netto-Nennleistung [MW]";Brennstoffkosten (inkl. Transport) [EUR/MWHth];Grenzkosten [EUR/MWHel]
Ja;SEE960100973492;50Hertz;In Betrieb;Hamburger Energiewerke GmbH;HKW Wedel Block 1;22880;Wedel;Tinsdaler Weg 146;Schleswig-Holstein;34298;Steinkohle;Steinkohlen;Steinkohle;Ja;Kondensationsmaschine mit Entnahme;Steinkohle;Steinkohle;0,36;OPSD (2020);152,8;137;109,6;15,55;109,41375
Ja;SEE987197130805;50Hertz;In Betrieb;Hamburger Energiewerke GmbH;Tiefstack HKW Block 20;22113;Hamburg;Andreas-Meyer-Straße 8;Hamburg;34060;Steinkohle;Steinkohlen;Steinkohle;Ja;Kondensationsmaschine mit Entnahme;Steinkohle;Steinkohle;0,4075;OPSD (2020);205;189;151,2;15,55;96,81153374
Ja;SEE900403199748;50Hertz;In Betrieb;Heizkraftwerk Halle-Trotha GmbH;Heizkraftwerk Halle-Trotha - Dampfturbine;06118;Halle;Brachwitzer Straße 23;Sachsen-Anhalt;34425;Erdgas;;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,525;https://evh.de/gro%C3%9Fkunden/unternehmen/Heizkraftwerke/energiepark/trotha;12,471;12,158467;10,57786629;40,69;105,5559048
Ja;SEE965768299069;50Hertz;In Betrieb;Heizkraftwerk Halle-Trotha GmbH;Heizkraftwerk Halle-Trotha - Gasturbine;06118;Halle;Brachwitzer Straße 23;Sachsen-Anhalt;34425;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,525;OPSD (2020);56,242;54,832533;47,70430371;40,69;105,0559048
Ja;SEE924286409503;50Hertz;In Betrieb;IKW Rüdersdorf;IKW Rüdersdorf;15562;Rüdersdorf;Siedlerweg 11;Brandenburg;39428;nicht biogener Abfall;Industrieabfall;Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);35,54;30;25,5;0;1
Ja;SEE911283118750;50Hertz;In Betrieb;Industriekraftwerk Greifswald GmbH;Industriekraftwerk Greifswald GmbH;17509;Lubmin;Am Hafen 2;Mecklenburg-Vorpommern;41625;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,3993;OPSD (2018);39;38,2;33,234;40,69;138,3127974
Ja;SEE991050894971;50Hertz;In Betrieb;InfraLeuna GmbH;EKT;06237;Leuna; ;Sachsen-Anhalt;36570;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Nein;Kondensationsmaschine ohne Entnahme;Sonstige;Sonstige;0,385;Annahme basierend auf DIW (2014);14,7;14;11,9;95,59;287,8335065
Ja;SEE900957573537;50Hertz;In Betrieb;InfraLeuna GmbH;KT1;06237;Leuna; ;Sachsen-Anhalt;40298;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Nein;Kondensationsmaschine ohne Entnahme;Sonstige;Sonstige;0,396;Annahme basierend auf DIW (2014);21,6;20;17;95,59;279,8659091
Ja;SEE998623498277;50Hertz;In Betrieb;InfraLeuna GmbH;DT3;06237;Leuna; ;Sachsen-Anhalt;44767;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,4;eigene Annahme;24,4;23,9;20,315;95,59;277,07725
Ja;SEE947225300921;50Hertz;In Betrieb;InfraLeuna GmbH;GT1;06237;Leuna; ;Sachsen-Anhalt;34516;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,513;OPSD (2020);37,6;37;32,19;40,69;107,989961
Ja;SEE930522848685;50Hertz;In Betrieb;InfraLeuna GmbH;GT3;06237;Leuna; ;Sachsen-Anhalt;34516;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,513;OPSD (2020);37,6;37;32,19;40,69;107,989961
Ja;SEE959858570855;50Hertz;In Betrieb;InfraLeuna GmbH;GT4;06237;Leuna; ;Sachsen-Anhalt;36069;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,531;OPSD (2020);39;38,4;33,408;40,69;104,3801318
Ja;SEE992864019192;50Hertz;In Betrieb;InfraLeuna GmbH;GT5;06237;Leuna; ;Sachsen-Anhalt;44714;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,432;Annahme basierend auf DIW (2014);56,5;55,4;48,198;40,69;127,9568287
Ja;SEE926471060193;50Hertz;In Betrieb;K+S Minerals and Agriculture GmbH;Kraftwerk UB DT1;36414;Unterbreizbach;Schachtstraße 10;Thüringen;37439;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine ohne Entnahme;Sonstige;Sonstige;0,3795;OPSD (2020);11,493;11,3;9,605;95,59;291,9905138
Ja;SEE970114818481;50Hertz;In Betrieb;K+S Minerals and Agriculture GmbH;Kraftwerk UB DT3;36414;Unterbreizbach;Schachtstraße 10;Thüringen;23560;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,3795;OPSD (2020);12,252;12;10,2;95,59;291,9905138
Ja;SEE979396678813;50Hertz;In Betrieb;K+S Minerals and Agriculture GmbH;Kraftwerk ZI DT1;39326;Zielitz;Farsleber Straße 1;Sachsen-Anhalt;29404;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,3806;OPSD (2020);18,336;18,1;15,385;95,59;291,1495008
Ja;SEE950355589975;50Hertz;In Betrieb;K+S Minerals and Agriculture GmbH;Kraftwerk ZI DT 2;39326;Zielitz;Farsleber Straße 1;Sachsen-Anhalt;40361;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,3806;OPSD (2020);29,962;29,49;25,0665;95,59;291,1495008
Nein;SEE930596800480;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Ahrensfelde GT A;16356;Ahrensfelde;Lindenberger Straße 12;Brandenburg;33229;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,31;https://www.wikiwand.com/de/articles/Gasturbinenkraftwerk_Ahrensfelde;38,34;37,104;32,28048;40,69;177,7237097
Nein;SEE929797382345;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Ahrensfelde GT B;16356;Ahrensfelde;Lindenberger Straße 12;Brandenburg;33217;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,31;https://www.wikiwand.com/de/articles/Gasturbinenkraftwerk_Ahrensfelde;38,24;37,104;32,28048;40,69;177,7237097
Nein;SEE988046628214;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Ahrensfelde GT C;16356;Ahrensfelde;Lindenberger Straße 12;Brandenburg;33323;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,31;https://www.wikiwand.com/de/articles/Gasturbinenkraftwerk_Ahrensfelde;38,34;37,104;32,28048;40,69;177,7237097
Nein;SEE923527691592;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Ahrensfelde GT D;16356;Ahrensfelde;Lindenberger Straße 12;Brandenburg;33654;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,31;https://www.wikiwand.com/de/articles/Gasturbinenkraftwerk_Ahrensfelde;38,34;37,104;32,28048;40,69;177,7237097
Nein;SEE992841152355;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Thyrow GT A;15806;Zossen;Am Umspannwerk 12;Brandenburg;32050;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,3564;https://www.bakerhughes.com/sites/bakerhughes/files/2021-06/BakerHughes_Frame61B_Overview-060121.pdf;37,6;37,104;32,28048;40,69;154,2810045
Nein;SEE957496380690;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Thyrow GT B;15806;Zossen;Am Umspannwert 12;Brandenburg;32050;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,335;https://www.bakerhughes.com/sites/bakerhughes/files/2021-06/BakerHughes_Frame61B_Overview-060121.pdf;37,6;37,104;32,28048;40,69;164,0726866
Nein;SEE980421575656;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Thyrow GT C;15806;Zossen;Am Umspannwerk 12;Brandenburg;32098;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,335;https://www.bakerhughes.com/sites/bakerhughes/files/2021-06/BakerHughes_Frame61B_Overview-060121.pdf;37,6;37,104;32,28048;40,69;164,0726866
Nein;SEE989393516094;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Thyrow GT D;15806;Zossen;Am Umspannwerk 12;Brandenburg;32128;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,335;https://www.bakerhughes.com/sites/bakerhughes/files/2021-06/BakerHughes_Frame61B_Overview-060121.pdf;37,6;37,104;32,28048;40,69;164,0726866
Nein;SEE983877705974;50Hertz;Kapazitätsreserve;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Thyrow GT E;15806;Zossen;Am Umspannwerk 12;Brandenburg;32780;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,335;https://www.bakerhughes.com/sites/bakerhughes/files/2021-06/BakerHughes_Frame61B_Overview-060121.pdf;38,8;38,34;33,3558;40,69;164,0726866
Ja;SEE991817093418;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Kraftwerk Jänschwalde Block A;03185;Teichland;Am Kraftwerk ;Brandenburg;29860;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,375;OPSD (2020);535;500;435;3,1;84,67973333
Ja;SEE938669585906;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Kraftwerk Jänschwalde Block B;03185;Teichland;Am Kraftwerk ;Brandenburg;30284;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,375;OPSD (2020);535;500;435;3,1;84,67973333
Ja;SEE989591633753;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Kraftwerk Jänschwalde Block C;03185;Teichland;Am Kraftwerk ;Brandenburg;30713;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,375;OPSD (2020);535;500;435;3,1;84,67973333
Ja;SEE923943268279;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Kraftwerk Jänschwalde Block D;03185;Teichland;Am Kraftwerk ;Brandenburg;31326;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,375;OPSD (2020);535;500;435;3,1;84,67973333
Ja;SEE973464796218;50Hertz;In Betrieb;LEIPA Georg Leinfelder GmbH;Dampfturbine FSK Kuhheide 32a;16303;Schwedt;Kuhheide 34;Brandenburg;40634;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);32,4;28,904;24,5684;0;1
Ja;SEE945682618689;50Hertz;In Betrieb;Model Sachsen Papier GmbH;Dampfturbine Model Sachsen Papier;04838;Eilenburg;Am Schanzberg 1;Sachsen;34577;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,3773;OPSD (2020);16,62;16,25143;14,1387441;40,69;145,79022
Ja;SEE911097916719;50Hertz;In Betrieb;Model Sachsen Papier GmbH;Gasturbine Model Sachsen Papier;04838;Eilenburg;Am Schanzberg 1;Sachsen;40162;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,3773;OPSD (2020);30,64926;30,64926;26,6648562;40,69;145,79022
Ja;SEE962737235608;50Hertz;In Betrieb;Müllheizkraftwerk Rothensee GmbH;Block 1;39126;Magdeburg;Kraftwerk-Privatweg 7;Sachsen-Anhalt;38550;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Gegendruckmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);33,6;29,2;24,82;0;1
Ja;SEE963848288279;50Hertz;In Betrieb;Müllheizkraftwerk Rothensee GmbH;Dampfturbine Block 3;39126;Magdeburg;Kraftwerk-Privatweg 7;Sachsen-Anhalt;45595;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);33,83;33,5;28,475;0;1
Ja;SEE999819576335;50Hertz;In Betrieb;Müllheizkraftwerk Rothensee GmbH;Block 2;39126;Magdeburg;Kraftwerk-Privatweg 7;Sachsen-Anhalt;38968;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Gegendruckmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);33,6;33,6;28,56;0;1
Ja;SEE977898966292;50Hertz;In Betrieb;MVR Müllverwertung Rugenberger Damm GmbH;MVR Rugenberger Damm Müll;21129;Hamburg;Rugenberger Damm 1;Hamburg;36207;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);28,875;23,875;20,29375;0;1
Ja;SEE981876305560;50Hertz;In Betrieb;MVV Umwelt Asset GmbH;TREA Leuna 1;06237;Leuna;An der B 91 Tor 12;Sachsen-Anhalt;38590;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Nein;Kondensationsmaschine ohne Entnahme;Abfall;Abfall;0,33;OPSD (2020);18,545;16,245;13,80825;0;1
Ja;SEE925794342412;50Hertz;In Betrieb;MVV Umwelt Asset GmbH;TREA Leuna 2;06237;Leuna;An der B 91 Tor 12;Sachsen-Anhalt;39252;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Nein;Kondensationsmaschine ohne Entnahme;Abfall;Abfall;0,33;OPSD (2020);18,545;16,245;13,80825;0;1
Ja;SEE932265704129;50Hertz;In Betrieb;Neubrandenburger Stadtwerke GmbH;GT2;17034;Neubrandenburg;Warliner Straße 22;Mecklenburg-Vorpommern;35566;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,5265;OPSD (2020);24,219;23,125;20,11875;40,69;104,7594492
Ja;SEE975464070619;50Hertz;In Betrieb;Neubrandenburger Stadtwerke GmbH;GT1;17034;Neubrandenburg;Warliner Straße 22;Mecklenburg-Vorpommern;35566;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,5265;OPSD (2020);24,77;23,761;20,67207;40,69;104,7594492
Ja;SEE964935453853;50Hertz;In Betrieb;Neubrandenburger Stadtwerke GmbH;DT;17034;Neubrandenburg;Warliner Straße 22;Mecklenburg-Vorpommern;35566;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Dampfmotor;Erdgas;GuD;0,5265;OPSD (2020);27,5;26,459;23,01933;40,69;105,2594492
Ja;SEE935952275827;50Hertz;In Betrieb;Nordzucker, Werk Klein Wanzleben;Dampfturbine;39164;Wanzleben-Börde;Magdeburger Landstraße 1;Sachsen-Anhalt;34519;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,3784;OPSD (2020);14,24;14,18;12,3366;40,69;145,8693182
Ja;SEE932127408097;50Hertz;In Betrieb;PreZero Energy Zorbau GmbH;Generator Zorbau;06686;Lützen;Bayerische Straße 20;Sachsen-Anhalt;38509;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);29,68;27,2;23,12;0;1
Ja;SEE944111876263;50Hertz;In Betrieb;Progroup Power 1 GmbH;PPO1 - Eisenhüttenstadt;15890;Eisenhüttenstadt;Oderlandstraße 109;Brandenburg;40105;nicht biogener Abfall;Industrieabfall;Abfall;Ja;Sonstige;Abfall;Abfall;0,33;OPSD (2020);32;32;27,2;0;1
Ja;SEE986097297199;50Hertz;In Betrieb;Qemetica Energy Deutschland;QED_GuD_Staßfurt;39418;Staßfurt;Athenslebener Weg (Staßfurt) 57;Sachsen-Anhalt;35650;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,6075;OPSD (2020);125;100;87;40,69;91,42485597
Ja;SEE950593842498;50Hertz;In Betrieb;Remondis Thermische Abfallverwertung GmbH;Remondis Thermische Abfallverwertung GmbH;39418;Staßfurt;Butterwecker Weg 6;Sachsen-Anhalt;39422;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);27;24;20,4;0;1
Ja;SEE904662075126;50Hertz;In Betrieb;Sachsenmilch Leppersdorf GmbH;7712MKA10-GT2;01454;Wachau;An den Breiten ;Sachsen;41773;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,585;Annahme basierend auf DIW (2014);15,45;14,885;12,94995;40,69;94,88350427
Ja;SEE989200392347;50Hertz;In Betrieb;Sachsenmilch Leppersdorf GmbH;7711MKA10-GT1;01454;Wachau;An den Breiten ;Sachsen;41780;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,585;Annahme basierend auf DIW (2014);15,45;14,885;12,94995;40,69;94,88350427
Ja;SEE966530598731;50Hertz;In Betrieb;Solvay GmbH;Gegendruckdampfturbine Industriekraftwerk;06406;Bernburg;Köthensche Straße 0,0416666666666667;Sachsen-Anhalt;34698;Erdgas;Dampf (zum Beispiel Prozesswärme);Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,495;Annahme basierend auf DIW (2014);21,7;21,7;18,879;40,69;111,8623232
Ja;SEE956268312785;50Hertz;In Betrieb;Solvay GmbH;Kondensationsturbine EKT;06406;Bernburg;Köthensche Straße 1;Sachsen-Anhalt;40164;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Nein;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,33;OPSD (2020);40,49;30;25,5;95,59;335,6390909
Ja;SEE921877855527;50Hertz;In Betrieb;Solvay GmbH;Gasturbine 01 Industriekraftwerk;06406;Bernburg;Köthensche Straße 0,0416666666666667;Sachsen-Anhalt;43815;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,63;OPSD (2020);63,5;58,5;50,895;40,69;87,71325397
Ja;SEE988178455061;50Hertz;In Betrieb;Solvay GmbH;Gasturbine 02 Industriekraftwerk;06406;Bernburg;Köthensche Straße 1A;Sachsen-Anhalt;44100;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,63;OPSD (2020);63,5;63,5;55,245;40,69;87,71325397
Ja;SEE937544161082;50Hertz;In Betrieb;SpreeStromErzeugungs GmbH;EBS Heizkraftwerk Spremberg;03130;Spremberg;An der Heide A9;Brandenburg;41255;nicht biogener Abfall;Industrieabfall;Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);22,707;17,5;14,875;0;1
